agent_type_uri,image_url,acronym,name,agent_type,organization_type,url
http://purl.org/adms/publishertype/NationalAuthority,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Minist%C3%A8re_de_la_Transition_%C3%A9cologique.svg/langfr-280px-Minist%C3%A8re_de_la_Transition_%C3%A9cologique.svg.png,Ministère de la Transition Ecologique et Solidaire,MTES,Autorité nationale,Ministère,https://www.ecologie.gouv.fr/
http://purl.org/adms/publishertype/NationalAuthority,https://upload.wikimedia.org/wikipedia/fr/5/5b/Logo_DGS.png,Direction Générale de la Santé,DGS / Ministère de la Santé et des Solidarités,Autorité nationale,Direction ministérielle,http://www.data.drees.sante.gouv.fr/ReportFolders/reportFolders.aspx?sCS_referer=&sCS_ChosenLang=fr
http://purl.org/adms/publishertype/NationalAuthority,https://www.statistiques.developpement-durable.gouv.fr/themes/custom/sdes/images/theme/bloc-sdes.png,Sous Direction des Etudes Statistiques,SDES / MTES,Autorité nationale,Ministère,https://www.statistiques.developpement-durable.gouv.fr/
http://purl.org/adms/publishertype/NationalAuthority,https://www.aria.developpement-durable.gouv.fr/wp-content/uploads/2016/10/logo-aria-h70-titre-1.png,Bureau d’Analyse des Risques et Pollutions Industriels,BARPI / DGPR / MTES,Autorité nationale,Ministère,https://www.aria.developpement-durable.gouv.fr/le-barpi/
http://purl.org/adms/publishertype/NationalAuthority,https://upload.wikimedia.org/wikipedia/fr/thumb/6/6d/Logo_DGFP-fr.svg/langfr-220px-Logo_DGFP-fr.svg.png,Direction générale des Finances publiques,DGFIP,Autorité nationale,Ministère,https://www.economie.gouv.fr/dgfip
http://purl.org/adms/publishertype/NonProfitOrganisation,https://www.oieau.fr/sites/all/themes/oieau/img/header_logo_fr.png?v=2021,Office International de l'Eau,OIEau,Organisation à but non lucratif,"Association déclarée, reconnue d'utilité publique",https://www.oieau.fr/
http://purl.org/adms/publishertype/NationalAuthority,https://upload.wikimedia.org/wikipedia/fr/thumb/a/a5/OFB_190702_PHILOGENIQUE_JG-02.jpg/280px-OFB_190702_PHILOGENIQUE_JG-02.jpg,Agence Française de la Biodiversité,AFB,Autorité nationale,Agence publique,www.ofb.gouv.fr
http://purl.org/adms/publishertype/Company,https://upload.wikimedia.org/wikipedia/fr/thumb/a/ad/Office_national_des_for%C3%AAts_logo.svg/langfr-280px-Office_national_des_for%C3%AAts_logo.svg.png,Office National des Forêts,ONF,Entreprise,EPIC,www.onf.fr
http://purl.org/adms/publishertype/SupraNationalAuthority,,Executive Agency for Health and Consumers,Public Health Executive Agency,Autorité supranationale,Autre,https://ec.europa.eu/chafea/index_en.htm
http://purl.org/adms/publishertype/NonProfitOrganisation,https://www.nature-en-ville.com/sites/nature-en-ville/files/image/2020-02/logo_rnsa.png,Réseau National de Surveillance aérobiologique,RNSA,Organisation à but non lucratif,Association loi 1901,https://www.pollens.fr/
http://purl.org/adms/publishertype/NationalAuthority,https://upload.wikimedia.org/wikipedia/fr/thumb/5/50/Sante-publique-France-logo.svg/1200px-Sante-publique-France-logo.svg.png,Agence nationale de Santé Publique,Sante publique France,Autorité nationale,EPA,https://www.santepubliquefrance.fr/
http://purl.org/adms/publishertype/NationalAuthority,https://agreste.agriculture.gouv.fr/agreste-web/files/e1f6fc8c-0b92-4344-9d22-d3238c10adbe/bando_agreste2_150dpi_06oct2020.jpg,"Service de la statistique et de la prospective (SSP) du Ministère de l'agriculture, de l'agroalimentaire et de la forêt",SSP  /  Ministère de l'Agriculture et de l’Alimentation,Autorité nationale,Service ministériel,https://agreste.agriculture.gouv.fr/agreste-web/statisticons/ORGA-SSP/listeTypeStatisticon/
http://purl.org/adms/publishertype/Academia-ScientificOrganisation,https://www.patrinat.fr/sites/patrinat/files/logo_patrinat_2020_hd_transparent_serre.png,PatriNat Unité Mixte de Service,UMS 2006 Patrimoine Naturel,Université / Organisation scientifique,UMS,https://www.patrinat.fr/
http://purl.org/adms/publishertype/NonProfitOrganisation,https://www.construction21.org/france/data/sources/users/17134/20210304134456-logoceremavertical.jpg,"Le centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement",Cerema,Organisation à but non lucratif,Etablissement public,https://www.cerema.fr/
http://purl.org/adms/publishertype/NonProfitOrganisation,,,SISE Eau,Organisation à but non lucratif,Etablissement public,https://data.eaufrance.fr/concept/sise-eaux
http://purl.org/adms/publishertype/NonProfitOrganisation,https://www.atlasante.fr/media/site/gen/atlasante/logo-atla-sant-long@2x.png,Agence Régionale de Santé,ARS,Autorité locale,Etablissement public,https://ars.sante.fr
http://purl.org/adms/publishertype/NationalAuthority,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Minist%C3%A8re_de_la_Transition_%C3%A9cologique.svg/1200px-Minist%C3%A8re_de_la_Transition_%C3%A9cologique.svg.png,Direction Générale de la Prévention des Risques,DGPR / MTES,Autorité nationale,Service ministériel,https://www.ecologie.gouv.fr/direction-generale-prevention-des-risques-dgpr
ARS,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Minist%C3%A8re_de_la_Transition_%C3%A9cologique.svg/1200px-Minist%C3%A8re_de_la_Transition_%C3%A9cologique.svg.png,Commissariat Générale au Développement Durable,CGDD / MTES,Autorité nationale,Autorité nationale,https://www.ecologie.gouv.fr/commissariat-general-au-developpement-durable-cgdd
